content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
pxobbDzA9RM,Last post of 2024! Let's Welcome 2025🤩✨#gratefulforyou  #thankyouforwatching #shorts,2024-12-31,46.0,22.0,49.48,3,0,25,0,623,3.9082,3,1328,3.54,0.4815409309791332,2024-12,4.01
mUcDfRzXNlw,Tomato Thokku ✨#healthierecipes24 #recipe #food #tomtothokku #thakkalithokku,2025-09-19,58.0,20.0,34.56,3,0,12,0,2533,4.3177,3,3075,2.15,0.1184366363995262,2025-09,0.47
e-0dtoIOzPg,What's inside Watermelon seeds?#healthierecipes24 #whatsinside #shorts,2025-04-18,40.0,21.0,54.9,2,0,10,0,1544,4.1139,2,1480,2.5,0.1295336787564767,2025-04,0.65
h3_xJQOpQE0,Bobby Deol's childhood favorite😁✨#lauki#bottlegourd #food #shorts#shortsfeed#fyp #bollywood,2024-07-09,41.0,20.0,50.98,2,0,15,0,625,3.5688,2,458,3.06,0.32,2024-07,2.4
8Mqk_QQPgjE,Maggi and flakes ✨ #newmusic #healthierecipes24 #edsheeran,2025-06-06,40.0,18.0,46.82,0,0,16,0,2015,3.7218,0,1735,5.24,0.0,2025-06,0.79
kMvFGY5C24g,Ketchup in bhel#healthierecipes24 #bhel #recipe #shorts #trending,2025-12-30,31.0,17.0,57.71,1,0,17,0,1410,3.5625,1,481,3.95,0.0709219858156028,2025-12,1.21
gVYkv73S8cg,Kusube Palya ✨#healthierecipes24 #recipe #safflower #kusubepalya #northkarnataka,2025-12-22,59.0,30.0,51.15,2,0,15,0,1479,5.5423,2,650,4.31,0.1352265043948614,2025-12,1.01
9-cS6pLmdHs,Instant Poha Dosa for Breakfast ✨☺️#dosa #pohadosa #breakfast #recipe #food,2024-10-25,46.0,17.0,39.65,0,0,8,0,639,3.0086,0,5472,1.24,0.0,2024-10,1.25
J92mRYVMaU0,Gym coach Nitesh's Fat Burner Drink #fatburn#fyp #shorts #shortsfeed@theniteshfitnessempire85,2024-07-04,27.0,18.0,69.1,3,0,28,0,623,3.2081,3,1733,4.67,0.4815409309791332,2024-07,4.49
z-Y08v8wk4Q,Leftover Daal sabji ✨ #healthierecipes24 #food #leftover,2025-03-21,45.0,21.0,46.72,3,0,12,0,650,3.4658,3,1940,2.32,0.4615384615384615,2025-03,1.85
n7Rs9IuDKwk,noodles or Maggi ✨ #recipe #merimaggi #snacks #maggi #maggirecipe #shorts #healthierecipes24,2025-08-22,24.0,12.0,52.72,0,0,12,0,1768,2.6076,0,1157,2.85,0.0,2025-08,0.68
R1GJz-nu4rM,What's your Weird food combo? #healthierecipes24 #weirdfoodcombo,2025-06-02,36.0,16.0,46.12,2,0,14,0,1588,3.1587,2,705,1.7,0.1259445843828715,2025-06,0.88
FwvFg4HhhxA,South Indian White Gravy♥️ #recipe #healthierecipes24 #whitegravy #gravy #sabji #shorts,2025-08-25,59.0,24.0,41.72,4,0,21,0,1653,4.5676,4,825,1.33,0.2419842710223835,2025-08,1.27
41umlkwHJUA,Jackie Dada shares secret to success#jakieshroff#ranveerallahbadia #bhindi #shortsviral #shorts,2024-11-28,28.0,16.0,58.68,0,0,10,0,619,2.6773,0,2277,2.06,0.0,2024-11,1.62
hVxm47c2Fs4,Newest Healthy breakfast recipe✨🔥🤩#shorts #breakfast #healthierecipes24,2025-01-14,62.0,26.0,43.13,1,0,7,0,598,4.4214,1,1094,1.01,0.1672240802675585,2025-01,1.17
JXgn-OgfxT4,Quickest dosa #recipe #healthierecipes24 #rava #breakfast #easyrecipe,2025-08-12,45.0,22.0,49.64,1,0,17,2,2013,4.3119,1,483,2.69,0.0496770988574267,2025-08,0.94
XDcuVm1yKF8,Fancy Cutlery✨#healthierecipes24 #shorts #meesho #cutlery #fancy,2025-09-21,26.0,12.0,47.24,2,0,22,1,1733,2.5807,2,775,2.58,0.1154068090017311,2025-09,1.33
lIdK_pRFmvU,Creamy Cauli🥦✨😌#shorts #creamycauli #healthierecipes24  #recipe #sabji,2024-12-30,61.0,20.0,34.41,0,0,12,0,591,3.4244,0,2418,2.15,0.0,2024-12,2.03
aQ5vERWcnvE,Crispy Green Dose#healthierecipes24 #pesarttu #moongdalchilla #shorts,2025-09-13,59.0,20.0,35.03,0,0,18,1,2092,3.9941,0,734,2.18,0.0,2025-09,0.91
RFmUPBN0TII,✨Masala Khichdi without masala ✨ #recipe #healthierecipes24 #masalakhichdi #shorts,2025-11-15,57.0,18.0,32.29,1,0,17,1,1287,3.3738,1,506,4.15,0.0777000777000777,2025-11,1.4
I9NIFN3Ir9g,Unfermented Appe✨#healthierecipes24 #appe #pudd #paniyaram #food #shorts,2025-10-24,59.0,28.0,47.97,2,0,25,1,1640,5.0426,2,1338,2.54,0.1219512195121951,2025-10,1.59
Mwdk_NPVsDc,My monsoon fav #shorts #monsoon #favorite #recipe #easyrecipe #food,2025-08-31,43.0,18.0,44.07,3,1,16,0,1871,3.5905,2,525,2.29,0.1603420630678781,2025-08,0.86
kLAiIXH6i5c,Madhuri Dixit's favourite♥️🔥 #bollywood #dahiwada #shorts #shortsviral,2024-10-27,10.0,9.0,99.71,0,0,14,0,591,1.61,0,785,2.93,0.0,2024-10,2.37
ZgD30yocUC4,unique Salad Recipe #healthierecipes24 #recipe #saladrecipe #shorts #shorts,2025-11-29,58.0,17.0,31.01,0,0,29,2,1635,3.4259,0,472,4.24,0.0,2025-11,1.9
sWyFZScX400,Actor Rakul Preet made this recipe✨#shorts#shortsfeed#viral #rakulpreetsingh,2024-07-11,60.0,22.0,37.24,0,0,10,0,591,3.5871,0,959,2.82,0.0,2024-07,1.69
vtYx4jkLbHw,Foxnut Bhel ✨#healthierecipes24 #shorts #makhana #makhanabhel #food,2025-12-18,42.0,21.0,52.24,1,0,15,0,1252,3.9284,1,720,3.61,0.0798722044728434,2025-12,1.2
9FUllcE1Xkw,✨🪔Be festive Ready 🪔✨#healthierecipes24 #homemade #mukhwas #recipe #shorts,2025-09-09,58.0,14.0,25.68,1,0,21,1,1465,2.7515,1,725,2.76,0.068259385665529,2025-09,1.5
3pWq9ZXBWbo,"May 4, 2025",2025-05-09,25.0,14.0,59.22,1,0,13,0,1661,2.8025,1,357,3.08,0.0602046959662853,2025-05,0.78
S5WwY0FKKJk,Shahrukh Khan shares childhood memory#shorts #shahrukh #srk #coffee #thermos,2024-11-09,32.0,16.0,50.63,2,0,6,0,591,2.5458,2,1626,3.14,0.338409475465313,2024-11,1.02
GDwZMiz1GZA,Instant Butter Chakli #healthierecipes24 #instantchakli #butterchakli #beginnerfriendly #shorts,2025-09-04,55.0,22.0,41.22,2,0,19,1,2089,4.1749,2,631,2.69,0.0957395883197702,2025-09,0.96
boVDDuClN2I,Shark tank Star Namita Thapar loves Masale bhat✨#healthierecipes24 #namitathapar #food,2025-02-10,94.0,16.0,17.41,1,0,10,0,603,2.596,1,1783,3.31,0.165837479270315,2025-02,1.66
HI-ztNM6Hdc,Easy Wheat Gulab Jamun #healthierecipes24 #gulabjamun #food #shorts #shriganesh,2025-09-06,55.0,17.0,31.76,3,0,15,1,1304,3.041,3,594,3.54,0.2300613496932515,2025-09,1.23
LDvtQOqvYuw,✨Patto ki sabji✨#healthierecipes24 #pattokibhaji #food #northkarnatakarecipe,2024-12-31,334.0,37.0,11.13,2,0,5,0,586,6.0533,2,7543,6.69,0.3412969283276451,2024-12,0.85
vWghvSgJdbA,Tanghulu with jaggery🍡✨#tanghulu #shorts #viral #healthierecipes24 #fypシ #fyp,2024-01-26,25.0,25.0,101.88,0,0,24,0,719,4.5132,0,4916,6.14,0.0,2024-01,3.34
vq7ON1GrUiY,✨Creamy Paneer Bhurji #shorts #paneerbhurji #asmr,2024-08-24,60.0,20.0,34.26,1,0,22,0,565,3.221,1,622,2.41,0.1769911504424778,2024-08,3.89
gqPz2Shhluk,Quickest Chutney✨ #healthierecipes24 #chutney #recipe #shorts,2026-01-06,29.0,12.0,44.35,1,0,12,1,1471,2.4314,1,531,4.33,0.0679809653297076,2026-01,0.88
7OrkwC3nMjo,What's your lazy sunday feast??#healthierecipes24 #sundayfeast #food #lazysunday,2025-02-09,56.0,15.0,27.42,0,0,7,0,579,2.3956,0,1689,2.9,0.0,2025-02,1.21
P2-inG02CrA,How to use Neem leaves?#bevubella #healthierecipes24,2025-03-14,46.0,18.0,40.69,0,0,9,0,589,2.9216,0,709,2.4,0.0,2025-03,1.53
_vob4Ykc2J4,Easy Chana drink #drink #food #sattudrinkrecipe #satturecipe #ankitbaiyanpuriyashorts,2024-07-23,20.0,19.0,95.95,1,0,15,0,623,3.0152,1,3205,8.11,0.160513643659711,2024-07,2.41
T1I_JtHRoWo,Easy puchka✨🤍#healthierecipes24 #puchka #fuchka #shorts #recipe,2025-09-18,56.0,20.0,35.78,1,0,15,1,1716,3.637,1,773,2.72,0.0582750582750582,2025-09,0.93
xgNkvlc051k,Coconut 🥥 rice#healthierecipes24 #recipe #coconutrice #shorts,2025-12-05,46.0,20.0,44.34,3,0,22,0,1890,3.7831,3,413,3.39,0.1587301587301587,2025-12,1.16
M1-uDNtzgSc,Techa toast#crispy #viral #goviral #shorts #healthierecipes24 #recipe,2025-08-02,59.0,20.0,35.35,1,0,14,0,1397,3.7166,1,651,3.69,0.0715819613457408,2025-08,1.0
