Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
C7lFlmbuRI0,Rajkumar Rao's Childhood favourite Cheeni ka paratha #paratha#sugar #shortsvideo#shortsviral#shorts,"Jul 5, 2024",31,0:00:25,83.46,,8,1,121,2,10626,75.7022,7,1337,3.59
IZtfsOxMvRs,Alia Bhat's favourite recipe#healthierecipes24 #aliabhatt #shorts,"Apr 9, 2025",56,0:00:36,64.76,,9,0,271,1,16891,108.6777,9,3024,2.74
xRYFUOyno8A,Sai Pallavi's Favourite Kerala Dish #pazhampori #keralafood #saipallavi #pazhamporirecipe#shorts,"Nov 6, 2024",21,0:00:16,76.4,,8,0,82,0,11002,46.9191,8,26361,2.86
a2VziN6s9Kw,Kareena Kapoor's favourite Khichdi & achar😋🤌🏻#shorts #shortsfeed #shortsviral #food #bollywood,"Jul 6, 2024",34,0:00:24,71.24,,14,0,125,0,10495,70.2764,14,2618,4.28
z8zAf2vmIOg,Ranbir Kapoor loves Bhajiya Pav😋✨ #bollywood #ranbirkapoor#food#pav #bajji #shorts #shortsfeed,"Jul 13, 2024",18,0:00:15,87.97,,7,1,209,2,9961,43.3202,6,3281,3.35
LuIEesVTHX0,Janhavi's fav tadke wala dahi✨ #dahitadka #shortsviral #janhavikapoor,"Aug 22, 2024",19,0:00:18,96.31,,8,4,381,0,9812,49.537,4,1886,4.4
 -l3YwAw5D6w,Simple Dal Chawal ✨🌼#rohitsharma rohit sharma #cricket #food #favoritefood #shortsfeed #shorts,"Jul 1, 2024",18,0:00:17,96.59,,7,0,301,1,9505,45.7023,7,1107,2.53
k88p4_1mU_w,Curd rice✨🍚 #healthierecipes24 #curdrice #foodvlog #shorts #shortsviral #food Orry's fav curd rice,"Jun 19, 2024",19,0:00:16,87.97,,3,0,128,1,9324,43.0661,3,1501,1.33
Xr-zBFxddug,R Madhavan's favourite Vada✨🔥#healthierecipes24 #rmadhavan #vada #shorts #food,"Feb 17, 2025",59,0:00:33,57.26,,9,1,137,2,9069,84.7166,8,2367,4.69
xAPix_TMbG4,Nitin Gadkari's favorite dish! #nitingadkari #foodie #recipe #shorts #short #healthierecipes24,"Aug 7, 2024",35,0:00:27,78.56,,9,0,130,0,8866,67.1606,9,5176,2.11
_HD_MMPJW3k,Keerthy Suresh loves only DOSA🥰🔥✨ #tamil #cinema #tamilstar #keerthysuresh #shorts,"Nov 16, 2024",42,0:00:23,55.94,,15,1,156,0,8566,55.5968,14,4488,2.09
AzcZqkjgaAg,Ranveer Allahbadia tries khotte idli #beerbiceps #ranveerallahbadia #mysorecafe #shorts #food,"Nov 8, 2024",40,0:00:18,46.82,,6,0,67,3,8873,45.2206,6,34986,4.55
QCV9_MOZ8F8,Janhavi Kapoor's loves Mawa parantha#shorts #janhavikapoor #curlytales #ytrecipe,"Sep 29, 2024",26,0:00:18,70.53,,10,2,85,0,7937,39.7161,8,7854,4.43
N_kUQGFgMk4,Malaika Arora's Favorite Thai Curry and rice #thaicurry #malaikaarora #food #shorts,"Dec 22, 2024",39,0:00:16,41.85,,7,2,59,0,7785,34.4451,5,7200,4.65
RgNZRHUqs_M,This is Virat Kohli's Comfort food✨ What's yours?😋 #shorts#viratkohli,"Jul 12, 2024",49,0:00:29,60.87,,3,0,191,2,7655,63.2356,3,2978,6.21
BA0xJ6uHN1o,Pani Puri is the winner🥇#panipuri #healthierecipes24 #chefsanjeevkapoor,"Mar 22, 2025",27,0:00:22,83,,5,1,67,0,7838,47.4325,4,802,5.49
Tk9M2mihXdA,Actor Avneet Kaur Love Kacchi Kairi! #healthierecipes24 #avneetkaur #shorts,"Apr 13, 2025",36,0:00:23,64.94,,5,1,55,0,14639,49.0118,4,13758,1.42
VSOuLAkVS-M,✨How to toast Sesame🤍 #sesame #seeds #tipsandtricks #food #howto,"Mar 19, 2024",40,0:00:29,74.15,,10,1,92,3,10197,60.8611,9,49829,9.34
1qQ8Hn8n4sc,Tasty Instant idli|Idli History🍛#idli#healthierecipes24#shortsinstanttastyyummyfood vlog,"Jun 17, 2024",44,0:00:23,54.41,,6,1,101,0,6629,43.8249,5,15950,0.8
SSsk9EFzPCc,Neha Kakkar's love for bread and jam✨🤩#nehakakkar #shorts #breadjam #indianidol,"Nov 26, 2024",20,0:00:15,78.36,,11,0,51,0,6444,27.6795,11,4993,2.3
YOE5BSeMOIQ,Shruti Hassan's recipe of Thakkali thokku#healthierecipes24 #shrutihaasan #recipe #shorts,"Aug 16, 2025",60,0:00:30,51.55,,3,1,58,0,10632,56.7116,2,7667,5.88
bZP1lrXpZAo,Modi Ji's Millets Solution: Combatting Malnutrition Made Simple!✨#narendramodi #millets#shortsvideo,"Aug 8, 2024",61,0:00:35,58.65,,8,0,175,2,8085,63.1416,8,43753,6.98
hAyOL6IUrog,✨🔥Legendary Rekha Ji on Kapil Show😍#dalfulka #dalroti #thegreatindiankapilshow #rekha #shorts,"Dec 10, 2024",23,0:00:16,69.81,,6,0,37,0,5942,26.291,6,4310,2.92
